taxon,max,min
Cophocetus oregonensis,20.44,15.97
Hibacetus hirosei,20.44,15.97
Morenocetus parvus,20.44,15.97
Kentriodon fuchsii,15.97,11.1
Ferecetotherium kelloggi,28.1,23.03
Cotylocara macei,28.1,23.03
Echovenator sandersi,28.1,23.03
Allodelphis pratti,28.1,23.03
Arktocara yakataga,28.1,23.03
Iniopsis caucasica,28.1,23.03
Patriocetus denggi,28.1,23.03
Patriocetus ehrlichii,28.1,23.03
Patriocetus kazakhstanicus,28.1,23.03
Macrodelphinus kelloggi,28.1,23.03
Eosqualodon langewieschei,28.1,23.03
Miodelphis californicus,28.1,23.03
Urkudelphis chawpipacha,28.1,23.03
Oligodelphis azerbajdzanicus,28.1,23.03
Squalodon linzianus,28.1,23.03
Squalodon barbarus,28.1,23.03
Microcetus ambiguus,28.1,23.03
Sulakocetus dagestanicus,28.1,23.03
Squalodon hypsispondylus,28.1,23.03
Microcetus sharkovi,28.1,23.03
Atropatenocetus posteocenicus,28.1,23.03
Archaeodelphis patrius,28.1,23.03
Fucaia goedertorum,28.1,23.03
Tlaxcallicetus guaycurae,28.1,23.03
Aetiocetus polydentatus,28.1,23.03
Aetiocetus weltoni,28.1,23.03
Chonecetus sookensis,28.1,23.03
Morawanocetus yabukii,28.1,23.03
Chonecetus tomitai,28.1,23.03
Eomysticetus carolinensis,24.7,23.5
Eomysticetus whitmorei,29.1,23.13
Yamatocetus canaliculatus,29.2,28.1
Micromysticetus tobieni,28.73,26.57
Mammalodon colliveri,28.1,23.03
Janjucetus hunderi,28.1,23.03
Cetotheriopsis lintianus,26.84,23.19
Sitsqwayk cornishorum,28.1,23.03
Physeter macrocephalus,0,0
Phocoena phocoena,0,0
Balaenoptera acutorostrata,0,0
Inermorostrum xenops,33.9,28.1
Xenorophus sloanii,33.9,28.1
Saurocetus gibbesii,33.9,28.1
Simocetus rayi,33.7,30.6
Mirocetus riabinini,33.9,28.1
Ashleycetus planicapitis,33.9,28.1
Micromysticetus rothauseni,29,26.57
Coronodon havensteini,33.9,28.1
Brachydelphis jahuayensis,11.62,5.333
Balaenoptera siberi,7.246,5.333
Nannocetus eremus,11.62,5.333
Mauicetus parki,28.1,21.7
Babiacetus mishrai,47.8,41.3
Rodhocetus balochistanensis,47.8,41.3
Rodhocetus kasranii,47.8,41.3
Protocetus atavus,47.8,41.3
Dhedacetus hyaeni,47.8,41.3
Takracetus simus,47.8,41.3
Kharodacetus sahnii,47.8,41.3
Gaviacetus razai,47.8,41.3
Indocetus ramani,47.8,41.3
Qaisracetus arifi,47.8,41.3
Makaracetus bidens,47.8,41.3
Artiocetus clavis,47.8,41.3
Togocetus traversei,47.8,41.3
Maiacetus inuus,47.8,41.3
Attockicetus praecursor,47.8,41.3
Dalanistes ahmedi,47.8,41.3
Remingtonocetus domandaensis,47.8,41.3
Remingtonocetus harudiensis,47.8,41.3
Andrewsiphius sloani,47.8,41.3
Kutchicetus minimus,47.8,41.3
Rayanistes afer,47.8,41.3
Pakicetus calcis,47.8,41.3
Pakicetus chittas,47.8,41.3
Pakicetus inachus,47.8,41.3
Ichthyolestes pinfoldi,47.8,41.3
Nalacetus ratimitus,47.8,41.3
Gandakasia potens,47.8,41.3
Ambulocetus natans,47.8,41.3
Ziphirostrum marginatum,9.5,7.5
Pontistes rectifrons,13.82,7.246
Pelocetus mirabilis,13.82,7.246
Kurdalagonus mchedlidzei,13.82,7.246
Tiucetus rosae,13.82,7.246
Phocageneus venustus,20.44,13.82
Schizodelphis barnesi,20.44,13.82
Zarhinocetus donnamatsonae,20.44,13.82
Neosqualodon assenzae,20.44,13.82
Kentriodon pernix,20.44,13.82
Squalodon dalpiazi,20.44,13.82
Titanocetus sammarinensis,20.44,13.82
Parietobalaena palmeri,20.44,13.82
Diorocetus chichibuensis,20.44,13.82
Parietobalaena yamaokai,20.44,13.82
Ninoziphius platyrostris,5.9,3.9
Salumiphocaena stocktoni,11.62,4.9
Matapanui waihao,28.1,27.3
Idiorophus bolzanensis,23.03,15.97
Notocetus vanbenedeni,23.03,15.97
Prosqualodon australis,23.03,15.97
Dalpiazina ombonii,23.03,15.97
Squalodon bariensis,23.03,15.97
Cynthiacetus maxwelli,41.3,33.9
Dorudon atrox,41.3,33.9
Argyrocetus joaquinensis,28.1,20.44
Argyrocetus bakersfieldensis,28.1,20.44
Scaldiporia vandokkumi,11.62,3.6
Himalayacetus subathuensis,56,47.8
Brachydelphis mazeasi,13.82,5.333
Mesocetus longirostris,13.82,5.333
Piscobalaena nana,13.82,5.333
Hadrodelphis poseidon,15.97,7.246
Cetotherium parvum,15.97,7.246
Palaeobalaena bergi,15.97,7.246
Isocetus depauwi,15.97,7.246
Xiphiacetus bossi,20.44,11.62
Neosqualodon gastaldii,20.44,11.62
Miokogia elongatus,20.44,11.62
Mesocetus siphunculus,20.44,11.62
Parietobalaena campiniana,20.44,11.62
Pomatodelphis inaequalis,13.82,4.9
Placoziphius duboisii,23.03,13.82
Zarhachis flagellator,23.03,13.82
Delphinodon dividum,23.03,13.82
Kentriodon schneideri,23.03,13.82
Squalodon calvertensis,23.03,13.82
Squalodon tiedemani,23.03,13.82
Babiacetus indicus,47.8,38
Georgiacetus vogtlensis,47.8,38
Scaldicetus caretti,11.62,1.806
Hoplocetus borgerhoutensis,11.62,1.806
Protororqualus cuvieri,12.7,2.588
Goniodelphis hudsoni,13.82,3.6
Plesiocetopsis hupschii,15.97,5.333
Albertocetus meffordorum,33.9,23.03
Agorophius pygmaeus,33.9,23.03
Aetiocetus cotylalveus,33.9,23.03
Herpetocetus scaldiensis,13.82,1.806
Squalodon grateloupii,28.1,15.97
Physeterula dubusi,20.44,7.246
Orycterocetus crocodilinus,20.44,7.246
Pomatodelphis stenorhynchus,20.44,7.246
Parietobalaena affinis,20.44,7.246
Pakicetus attocki,56,41.3
Messapicetus longirostris,10.5,8.14
Scaldicetus degiorgii,20.44,5.333
Eudelphis mortezelensis,20.44,5.333
Xiphiacetus cristatus,20.44,5.333
Rudicetus squalodontoides,20.44,5.333
Eurhinodelphis longirostris,20.44,5.333
Squalodon antverpiensis,20.44,5.333
Eurhinodelphis cocheteuxi,23.03,7.246
Squalodon bellunensis,28.1,11.62
Tusciziphius atlanticus,6.1,4.4
Ziphiodelphis abeli,23.03,5.333
Scaldicetus grandis,20.44,1.806
Hoplocetus crassidens,20.44,1.806
Heterocetus brevifrons,20.44,1.806
Balaenula balaenopsis,20.44,1.806
Schizodelphis sulcatus,28.1,11.62
Squalodon melitensis,28.1,5.333
Acrophyseter_sp_MUSM_2182,6.9,6.7
Aetiocetidae_indet_OCPC_1178,18.8,17.2
Aetiocetidae_indet_UWBM_82941,27.82,23.03
Aetiocetidae_indet_UWBM_87135,27.82,23.03
aff_Huaridelphis_raimondii_MUSM_603,20.44,15.97
Africanacetus_ceratopsis,16,5.6
Agorophiidae_indet_ChM_PV5852,27.82,23.03
Albertocetus_sp_ChM_PV4834,27.82,23.03
Anoplonassa_forcipata,5.3,3.5
Aporotus_dicyrtus,11.6,2.588
Balaena_arcuata,11.6,2.588
Balaena_dubusi,11.6,2.588
Balaena_larteti,,
Balaena_macrocephalus,15.97,13.82
Balaena_sp_SDSNH_43880,5.3,2.58
Balaena_vulgaris,,
Balaenidae_indest_OU_22224,,
Balaenidae_indet_OU_22224,27.3,26
Balaenoptera_brevicauda,,
Balaenoptera_brydei,0,0
Balaenoptera_cephalus,15.97,13.82
Balaenoptera_cuvieri_portisi,5.3,3
Balaenoptera_fasciata,,
Balaenoptera_sursiplana,15.97,13.82
Balaenopteridae_indet_EGAPA_dash_MPTAM_207_dot_1330,5.332,3.6
Balaenopteridae_indet_MHNL_1610,11.608,5.332
Balaenopteridae_indet_MHNL_1613,3.6,1.806
Balaenopteridae_indet_NMNZ_MM001630,5.3,3.6
Balaenopteridae_indet_NMR_999100007096,3.6,1.806
Balaenopteridae_indet_RBINS_Unreferred,5.332,3.6
Balaenula_sp_HUES_10003,5.332,3.6
Balaenula_sp_SMAC_1309,6.4,4.1
Basilosauridae_indet_MUSM_1443,40.4,37.2
Basilosaurus_puschi,,
Beneziphius_brevirostris,13.2,12.8
Caviziphius_altirostris,15.97,5.33
Cephalorhynchus_hectori,0,0
Cetacea_indet_ZMT_62,33.8,28
Ceterhinops_longifrons,29,24.7
Cetorhynchus_christoli,15.97,11.63
Cetotheriidae_indet_ZIRM_V28_1,15.97,11.63
Cetotheriophanes_capellinii,3.6,2.58
Cetotherium_crassangulum,,
Cetotherium_polyporum,4.9,2.8
cf_Cynthiacetus_sp_CCNHM_167,,
Chaeomysticeti_indet_OU_22705,21.7,20.5
Chaeomysticeti_indet_ZMT_67,21.7,20.5
Chimuziphius_coloradensis,8.9,7.249
Choneziphius_macrops,29,24.7
Crenatocetus_rayi,47.8,41.2
Delphinapterus_brocchii,3.6,2.588
Delphinoidea_indet_NMV_dash_72,23.03,15.97
Delphinus_capensis,0,0
Delphinus_dewaeli,,
Delphinus_feres,,
Delphinus_rikuzenensis,5.3,3.6
Delphinus_tropicalis,0,0
Delphinus_wasii,,
Eschrichtiidae_indet_SDSNH_90517,5.3,2.58
Eschrichtius_akishimaensis,1.95,1.77
Eudelphinus_compressus,11.608,5.333
Fucaia_buelli,33.2,31
Globicephalus_karsteni,,
Goedertius_oregonensis,23.03,20.44
Herpetocetus_sp_NMNS_PV19540,5.332,3.6
