"Character" "Weight"
"Bisconti_et_Bosselaers_2016a" 660 1
"Bisconti_et_Bosselaers_2016a" 661 1
"Bisconti_et_Bosselaers_2016a" 662 1
"Bisconti_et_Bosselaers_2016a" 663 1
"Bisconti_et_Bosselaers_2016a" 664 1
"Bisconti_et_Bosselaers_2016a" 665 1
"Bisconti_et_Bosselaers_2016a" 666 1
"Bisconti_et_Bosselaers_2016a" 667 1
"Bisconti_et_Bosselaers_2016a" 668 1
"Bisconti_et_Bosselaers_2016a" 669 1
"Bisconti_et_Bosselaers_2016a" 670 1
"Bisconti_et_Bosselaers_2016a" 671 1
"Bisconti_et_Bosselaers_2016a" 672 1
"Bisconti_et_Bosselaers_2016a" 673 1
"Bisconti_et_Bosselaers_2016a" 674 1
"Bisconti_et_Bosselaers_2016a" 675 1
"Bisconti_et_Bosselaers_2016a" 676 1
"Bisconti_et_Bosselaers_2016a" 677 1
"Bisconti_et_Bosselaers_2016a" 678 1
"Bisconti_et_Bosselaers_2016a" 679 1
"Bisconti_et_Bosselaers_2016a" 680 1
"Bisconti_et_Bosselaers_2016a" 681 1
"Bisconti_et_Bosselaers_2016a" 682 1
"Bisconti_et_Bosselaers_2016a" 683 1
"Bisconti_et_Bosselaers_2016a" 684 1
"Bisconti_et_Bosselaers_2016a" 685 1
"Bisconti_et_Bosselaers_2016a" 686 1
"Bisconti_et_Bosselaers_2016a" 687 1
"Bisconti_et_Bosselaers_2016a" 688 1
"Bisconti_et_Bosselaers_2016a" 689 1
"Bisconti_et_Bosselaers_2016a" 690 1
"Bisconti_et_Bosselaers_2016a" 691 1
"Bisconti_et_Bosselaers_2016a" 692 1
"Bisconti_et_Bosselaers_2016a" 693 1
"Bisconti_et_Bosselaers_2016a" 694 1
"Bisconti_et_Bosselaers_2016a" 695 1
"Bisconti_et_Bosselaers_2016a" 696 1
"Bisconti_et_Bosselaers_2016a" 697 1
"Bisconti_et_Bosselaers_2016a" 698 1
"Bisconti_et_Bosselaers_2016a" 699 1
"Bisconti_et_Bosselaers_2016a" 700 1
"Bisconti_et_Bosselaers_2016a" 701 1
"Bisconti_et_Bosselaers_2016a" 702 1
"Bisconti_et_Bosselaers_2016a" 703 1
"Bisconti_et_Bosselaers_2016a" 704 1
"Bisconti_et_Bosselaers_2016a" 705 1
"Bisconti_et_Bosselaers_2016a" 706 1
"Bisconti_et_Bosselaers_2016a" 707 1
