generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
15200000,1,-0.256945,-3847.01,0.550751,0.603754,0.248757
15250000,3,-1.15352,-3832.82,1.67493,0.616381,0.244183
15300000,1,0.0278086,-3849,0.360251,0.665082,0.219244
15350000,2,-0.644269,-3831.81,1.58241,0.625917,0.244914
15400000,2,-0.204488,-3831.44,1.13074,0.623463,0.2371
15450000,3,-2.31585,-3832.2,3.62395,0.608919,0.2413
15500000,2,0.233997,-3833.28,0.708778,0.58534,0.244067
15550000,2,0.711331,-3831.45,0.149816,0.605738,0.2352
15600000,2,-1.38409,-3831.95,2.27135,0.592951,0.2499
15650000,2,-0.113625,-3838.2,0.90788,0.562498,0.2456
15700000,2,-0.468925,-3837.03,1.27549,0.596995,0.2513
15750000,2,-0.553152,-3833.82,1.46769,0.604707,0.2378
15800000,2,-0.717477,-3833.11,1.62864,0.609143,0.221725
15850000,3,-2.12459,-3832.41,2.42305,0.586331,0.237937
15900000,2,-0.864559,-3839.19,1.68602,0.630508,0.246633
15950000,2,-0.321808,-3834.98,1.27449,0.57802,0.2362
16000000,3,-1.93539,-3832.11,3.17501,0.592801,0.2453
16050000,2,-1.11583,-3833.67,2.09198,0.621079,0.24364
16100000,2,-0.888597,-3831.18,1.76687,0.609644,0.2437
16150000,2,0.235062,-3832.31,0.725975,0.612511,0.241025
16200000,2,-1.1249,-3838.82,2.07515,0.60249,0.2367
16250000,2,-2.29743,-3836.69,3.35918,0.605449,0.243
16300000,2,0.639361,-3833,0.387195,0.603011,0.24815
16350000,2,-1.31517,-3834.3,2.17781,0.577572,0.2372
16400000,2,-2.5239,-3831.68,3.39459,0.590223,0.232009
16450000,2,-0.179612,-3832.2,1.17064,0.613232,0.2423
16500000,2,-0.548436,-3831.08,1.49859,0.616001,0.2462
16550000,4,-1.54837,-3831.89,1.40378,0.596764,0.2429
16600000,3,-0.930053,-3832.49,2.3728,0.616604,0.2441
16650000,1,-0.368207,-3847.65,0.649351,0.615524,0.216975
16700000,2,-1.2209,-3835.78,2.01274,0.578632,0.2143
16750000,2,-0.355024,-3832.64,1.19785,0.609006,0.24355
16800000,2,-0.114675,-3834.13,1.08235,0.579407,0.237
16850000,2,-0.0941643,-3832.09,0.961727,0.605893,0.2338
16900000,2,-1.29503,-3831.66,2.16028,0.61871,0.24475
16950000,2,-4.15598,-3834.03,5.04012,0.629484,0.2416
17000000,3,-3.29618,-3829.41,2.92034,0.599402,0.2431
17050000,2,-0.66768,-3836.47,1.61022,0.58565,0.25748
17100000,2,-0.510483,-3834.35,1.35397,0.583331,0.249233
17150000,2,-0.995338,-3834.09,1.96552,0.575867,0.246867
17200000,2,-1.20347,-3831.64,2.09308,0.599644,0.2373
17250000,2,-0.503522,-3831.14,1.45808,0.610678,0.23365
17300000,1,-1.1825,-3848.43,1.56917,0.579397,0.2057
17350000,2,-0.158578,-3831.09,1.05342,0.601264,0.2352
17400000,2,-2.39128,-3833.53,3.28378,0.628495,0.24235
17450000,2,-0.818227,-3841.83,1.59241,0.605393,0.2186
17500000,2,-0.057031,-3836.26,0.832291,0.602021,0.23795
17550000,2,0.602206,-3833.42,0.315114,0.629607,0.2414
17600000,2,0.417847,-3835.44,0.46528,0.618585,0.2478
17650000,2,-0.85564,-3837.41,1.79468,0.588968,0.2309
17700000,2,0.401338,-3833.56,0.567609,0.592644,0.2439
17750000,1,-0.476396,-3848.99,0.775428,0.615452,0.2331
17800000,3,-0.667447,-3835.16,1.40545,0.597617,0.2357
17850000,2,0.221842,-3836.24,0.515514,0.603393,0.2312
17900000,4,-2.58473,-3828.21,3.16609,0.592837,0.24465
17950000,2,0.353144,-3833.74,0.615016,0.60812,0.243233
18000000,2,0.110281,-3835.55,0.730417,0.595752,0.243467
18050000,2,-0.542832,-3832.05,1.44769,0.595706,0.24617
18100000,2,-1.79087,-3831.82,2.67391,0.625081,0.2391
18150000,2,-0.0571887,-3832.43,0.888745,0.595802,0.2391
18200000,1,-1.15197,-3851.81,1.56691,0.572853,0.2598
