"Character" "Weight"
"Bisconti_2015a" 588 34.99
"Bisconti_2015a" 589 53.73
"Bisconti_2015a" 590 24.58
"Bisconti_2015a" 591 24.58
"Bisconti_2015a" 592 24.58
"Bisconti_2015a" 593 68.31
"Bisconti_2015a" 594 34.99
"Bisconti_2015a" 595 53.73
"Bisconti_2015a" 596 39.16
"Bisconti_2015a" 597 97.47
"Bisconti_2015a" 598 39.16
"Bisconti_2015a" 599 44.99
"Bisconti_2015a" 600 24.58
"Bisconti_2015a" 601 31.87
"Bisconti_2015a" 602 24.58
"Bisconti_2015a" 603 24.58
"Bisconti_2015a" 604 39.16
"Bisconti_2015a" 605 39.16
"Bisconti_2015a" 606 31.87
"Bisconti_2015a" 607 24.58
"Bisconti_2015a" 608 24.58
"Bisconti_2015a" 609 31.87
"Bisconti_2015a" 610 24.58
"Bisconti_et_Bosselaers_2016a" 611 71.86
"Bisconti_et_Bosselaers_2016a" 612 133.72
"Bisconti_et_Bosselaers_2016a" 613 133.72
"Bisconti_et_Bosselaers_2016a" 614 133.72
"Bisconti_et_Bosselaers_2016a" 615 133.72
"Bisconti_et_Bosselaers_2016a" 616 133.72
"Bisconti_et_Bosselaers_2016a" 617 133.72
"Bisconti_et_Bosselaers_2016a" 618 133.72
"Bisconti_et_Bosselaers_2016a" 619 133.72
"Bisconti_et_Bosselaers_2016a" 620 133.72
"Bisconti_et_Bosselaers_2016a" 621 71.86
"Bisconti_et_Bosselaers_2016a" 622 133.72
"Bisconti_et_Bosselaers_2016a" 623 133.72
"Bisconti_et_Bosselaers_2016a" 624 133.72
"Bisconti_et_Bosselaers_2016a" 625 133.72
"Bisconti_et_Bosselaers_2016a" 626 13.75
"Bisconti_et_Bosselaers_2016a" 627 12.75
"Bisconti_et_Bosselaers_2016a" 628 12.75
"Bisconti_et_Bosselaers_2016a" 629 12.75
"Bisconti_et_Bosselaers_2016a" 630 12.75
"Bisconti_et_Bosselaers_2016a" 631 14.27
"Bisconti_et_Bosselaers_2016a" 632 133.72
"Bisconti_et_Bosselaers_2016a" 633 14.76
"Bisconti_et_Bosselaers_2016a" 634 12.95
"Bisconti_et_Bosselaers_2016a" 635 14.95
"Bisconti_et_Bosselaers_2016a" 636 15.15
"Bisconti_et_Bosselaers_2016a" 637 14.27
"Bisconti_et_Bosselaers_2016a" 638 12.95
"Bisconti_et_Bosselaers_2016a" 639 21.25
"Bisconti_et_Bosselaers_2016a" 640 13.09
"Bisconti_et_Bosselaers_2016a" 641 13.17
"Bisconti_et_Bosselaers_2016a" 642 18.84
"Bisconti_et_Bosselaers_2016a" 643 12.69
"Bisconti_et_Bosselaers_2016a" 644 12.69
"Bisconti_et_Bosselaers_2016a" 645 133.72
"Bisconti_et_Bosselaers_2016a" 646 133.72
"Bisconti_et_Bosselaers_2016a" 647 14.27
"Bisconti_et_Bosselaers_2016a" 648 13.09
"Bisconti_et_Bosselaers_2016a" 649 13.09
"Bisconti_et_Bosselaers_2016a" 650 19.52
"Bisconti_et_Bosselaers_2016a" 651 15.89
"Bisconti_et_Bosselaers_2016a" 652 14.12
"Bisconti_et_Bosselaers_2016a" 653 15.38
"Bisconti_et_Bosselaers_2016a" 654 19.52
"Bisconti_et_Bosselaers_2016a" 655 15.38
"Bisconti_et_Bosselaers_2016a" 656 23.75
"Bisconti_et_Bosselaers_2016a" 657 17.28
"Bisconti_et_Bosselaers_2016a" 658 133.72
