generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
11150000,2,0.614164,-3832.77,0.21632,0.591177,0.24
11200000,1,0.243331,-3848.35,0.18215,0.606904,0.220554
11250000,2,-0.396571,-3836.99,1.25929,0.624681,0.25115
11300000,2,0.451668,-3838.96,0.305819,0.5891,0.2229
11350000,3,0.315051,-3836.67,0.742873,0.626057,0.24235
11400000,2,-1.45325,-3835.69,2.3181,0.636377,0.23785
11450000,2,-0.34943,-3840.18,1.23267,0.669605,0.2354
11500000,2,-0.420732,-3836.24,1.35506,0.626064,0.25
11550000,3,-2.29083,-3834.48,2.76476,0.612208,0.245138
11600000,2,0.610206,-3835.21,0.256349,0.633723,0.2392
11650000,2,0.0965595,-3838.81,0.974687,0.581036,0.2375
11700000,3,-2.07117,-3833.72,2.85362,0.599233,0.24452
11750000,2,-1.56481,-3835.19,2.53878,0.615255,0.24602
11800000,2,-0.847283,-3832.43,1.81737,0.601255,0.2461
11850000,2,0.0250862,-3832.45,0.852909,0.616249,0.246963
11900000,2,0.0114403,-3833.87,0.968503,0.613192,0.248867
11950000,2,-0.192946,-3836.3,1.12605,0.64299,0.245283
12000000,2,-0.290958,-3833.26,1.2166,0.607516,0.2376
12050000,2,-0.0642004,-3834.16,0.896898,0.590711,0.2392
12100000,2,-1.3876,-3833.18,2.3336,0.61959,0.236
12150000,2,-0.0521722,-3834.46,0.927467,0.615145,0.2348
12200000,2,-0.223715,-3835.61,1.01768,0.607322,0.2388
12250000,2,-2.02765,-3834.97,2.89261,0.620622,0.248733
12300000,2,-0.33628,-3835.23,1.18116,0.604429,0.243507
12350000,4,-3.04349,-3836.89,3.18864,0.617158,0.23175
12400000,2,-0.343931,-3833.73,1.27507,0.63066,0.2396
12450000,2,0.165971,-3835.92,0.613502,0.609825,0.2394
12500000,2,-2.20891,-3836.66,3.07478,0.577739,0.2476
12550000,2,-0.437332,-3832.27,1.37412,0.595308,0.235004
12600000,2,-1.59991,-3833.44,2.59292,0.605735,0.2467
12650000,2,-0.0886254,-3837.43,0.944426,0.570103,0.248543
